ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Info,AlphaLabel,Distance (ly),Label
62,NGC 6266,Globular Cluster,Ophiucus,17,1.2,-,30,7,6.5,Size: 14.1,1,21.500,M62
63,NGC 5055 Sunflower Galaxy,Spiral Galaxy,Canes Venatici,13,15.8,+,42,2,8.6,Size: 10x6,1,37.000.000,M63
64,NGC 4826 Blackeye Galaxy,Spiral Galaxy,Coma Berenices,12,56.7,+,21,41,8.5,Size: 9.3x5.4,1,19.000.000,M64
65,NGC 3623,Spiral Galaxy,Leo,11,18.9,+,13,5,9.3,Size: 8x1.5,0,35.000.000,M65
66,NGC 3627,Spiral Galaxy,Leo,11,20.2,+,12,59,8.9,Size: 8x2.5,1,35.000.000,M65/M66
67,NGC 2682,Open Cluster,Cancer,8,50.4,+,11,49,6.1,Size: 30,1,2.700,M67
68,NGC 4590,Globular Cluster,Hydra,12,39.5,-,26,45,7.8,Size: 12,1,33.300,M68
69,NGC 6637,Globular Cluster,Sagittarius,18,31.4,-,32,21,7.6,Size: 7.1,1,26.700,M69
70,NGC 6681,Globular Cluster,Sagittarius,18,43.2,-,32,18,7.9,Size: 7.8,1,28.000,M70
71,NGC 6838,Globular Cluster,Sagitta,19,53.8,+,18,47,8.3,Size: 7.2,1,11.700,M71
72,NGC 6981,Globular Cluster,Aquarius,20,53.5,-,12,32,9.3,Size: 5.9,1,52.800,M72
73,NGC 6994  Group of 4 stars,Group/Asterism,Aquarius,20,59,-,12,38,9,Size: 2.8,1,2.000,M73
74,NGC 628,Spiral Galaxy,Pisces,1,36.7,+,15,47,9.4,Size: 10.2x9.5,1,35.000.000,M74
75,NGC 6864,Globular Cluster,Sagittarius,20,6.1,-,21,55,8.5,Size: 6,1,57.700,M75
76,NGC 650 Little Dumbell. Cork. Butterfly Nebula,Planetary Nebula,Perseus,1,42.3,+,51,34,10.1,Size: 2.7x1.8,1,3.400,M76
77,NGC 1068 Cetus A,Spiral Galaxy,Cetus,2,42.7,+,0,1,8.9,Size: 7x6,1,60.000.000,M77
