HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
1,,,0,5,9.9,45,13,45,6.7,0.07,0.08608333333,1,45.22916667
2,,,0,5,3.8,0,30,11,6.29,1.1,0.08438888889,1,0.5030555556
3,33,Psc,0,5,20.1,-5,42,27,4.61,1.04,0.08891666667,-1,-5.7075
4,86,Peg,0,5,42,13,23,46,5.51,0.9,0.095,1,13.39611111
5,,,0,6,16,58,26,12,5.96,0.67,0.1044444444,1,58.43666667
6,,,0,6,19,-49,4,30,5.7,0.52,0.1052777778,-1,-49.075
7,10,Cas,0,6,26.5,64,11,46,5.59,-0.03,0.1073611111,1,64.19611111
8,,,0,6,36.8,29,1,17,6.13,0.75,0.1102222222,1,29.02138889
9,,,0,6,50.1,-23,6,27,6.18,0.38,0.1139166667,-1,-23.1075
10,,,0,7,18.2,-17,23,11,6.19,0.14,0.1217222222,-1,-17.38638889
11,,,0,7,44.1,-2,32,56,6.43,-0.14,0.1289166667,-1,-2.548888889
12,,,0,7,46.8,-22,30,32,5.94,0.14,0.1296666667,-1,-22.50888889
13,,,0,8,3.5,-33,31,46,5.68,1.12,0.1343055556,-1,-33.52944444
14,,,0,8,12.1,-2,26,52,6.07,1.38,0.1366944444,-1,-2.447777778
15,21Alp,And,0,8,23.3,29,5,26,2.06,-0.11,0.1398055556,1,29.09055556
16,,,0,8,17.4,-8,49,26,5.99,1.04,0.1381666667,-1,-8.823888889
17,,,0,8,41,36,37,36,6.19,0.48,0.1447222222,1,36.62666667
18,,,0,8,33.4,-17,34,39,6.06,1.67,0.1426111111,-1,-17.5775
19,,,0,8,52.2,25,27,46,6.23,0.97,0.1478333333,1,25.46277778
20,,,0,9,20.2,79,42,53,6.01,0.19,0.1556111111,1,79.71472222
21,11Bet,Cas,0,9,10.7,59,8,59,2.27,0.34,0.1529722222,1,59.14972222
22,87,Peg,0,9,2.4,18,12,43,5.53,1.04,0.1506666667,1,18.21194444
23,,,0,9,2.4,-54,0,7,6.33,0.74,0.1506666667,-1,-54.00194444
24,Kap1,Scl,0,9,21,-27,59,16,5.42,0.42,0.1558333333,-1,-27.98777778
25,Eps,Phe,0,9,24.7,-45,44,51,3.88,1.03,0.1568611111,-1,-45.7475
26,34,Psc,0,10,2.3,11,8,44,5.51,-0.07,0.1673055556,1,11.14555556
27,22,And,0,10,19.3,46,4,20,5.03,0.4,0.1720277778,1,46.07222222
28,,,0,10,29.7,57,9,56,6.74,-0.08,0.1749166667,1,57.16555556
29,,,0,10,18.8,-5,14,55,5.84,0.98,0.1718888889,-1,-5.248611111
30,Gam3,Oct,0,10,2.1,-82,13,26,5.28,1.05,0.16725,-1,-82.22388889
31,,,0,10,42.8,-12,34,48,5.85,1.01,0.1785555556,-1,-12.58
32,,,0,10,38.6,-73,13,28,6.64,0.37,0.1773888889,-1,-73.22444444
33,6,Cet,0,11,15.9,-15,28,5,4.89,0.49,0.18775,-1,-15.46805556
34,Kap2,Scl,0,11,34.4,-27,47,59,5.41,1.34,0.1928888889,-1,-27.79972222
35,The,Scl,0,11,44,-35,7,59,5.25,0.44,0.1955555556,-1,-35.13305556
36,,,0,11,59.1,48,9,9,6.16,1.45,0.19975,1,48.1525
37,,,0,12,10,-17,56,18,5.25,1.48,0.2027777778,-1,-17.93833333
38,,,0,12,50.4,37,41,36,6.73,-0.13,0.214,1,37.69333333
39,88Gam,Peg,0,13,14.2,15,11,1,2.83,-0.23,0.2206111111,1,15.18361111
40,,,0,13,24,26,59,14,6.3,0.65,0.2233333333,1,26.98722222
41,23,And,0,13,30.8,41,2,7,5.72,0.31,0.2252222222,1,41.03527778
42,,,0,13,42.1,-26,1,19,5.94,1.55,0.2283611111,-1,-26.02194444
43,,,0,13,44.2,-26,17,5,6.31,1.48,0.2289444444,-1,-26.28472222
44,,,0,14,2.3,33,12,22,6.25,-0.01,0.2339722222,1,33.20611111
45,89Chi,Peg,0,14,36.2,20,12,24,4.8,1.57,0.2433888889,1,20.20666667
46,,,0,14,27.6,-7,46,50,5.12,1.62,0.241,-1,-7.780555556
47,,,0,13,19.4,-84,59,39,5.77,1.72,0.2220555556,-1,-84.99416667
48,7,Cet,0,14,38.4,-18,55,58,4.44,1.66,0.244,-1,-18.93277778
49,,,0,14,56.1,22,17,3,6.24,-0.01,0.2489166667,1,22.28416667
50,35,Psc,0,14,58.8,8,49,15,5.79,0.31,0.2496666667,1,8.820833333
51,,,0,14,54.5,-9,34,11,5.75,-0.08,0.2484722222,-1,-9.569722222
52,,,0,15,7,31,32,9,6.45,,0.2519444444,1,31.53583333
53,,,0,15,10.6,27,16,59,6.35,-0.02,0.2529444444,1,27.28305556
54,,,0,14,58.2,-34,54,16,6.17,1.34,0.2495,-1,-34.90444444
55,,,0,16,14,76,57,3,6.35,-0.07,0.2705555556,1,76.95083333
56,,,0,16,21.6,43,35,41,6.15,0.05,0.2726666667,1,43.59472222
57,,,0,16,8.9,-31,26,47,5.67,1.35,0.2691388889,-1,-31.44638889
58,,,0,15,55.2,-75,54,41,6.49,1,0.2653333333,-1,-75.91138889
59,36,Psc,0,16,34.1,8,14,24,6.11,0.92,0.2761388889,1,8.24
60,,,0,16,57.1,61,32,0,5.74,0.88,0.2825277778,1,61.53333333
61,,,0,16,42.5,-20,12,38,6.47,-0.09,0.2784722222,-1,-20.21055556
62,,,0,17,9.1,47,56,51,5.89,-0.09,0.2858611111,1,47.9475
63,24The,And,0,17,5.5,38,40,54,4.61,0.06,0.2848611111,1,38.68166667
64,,,0,16,49,-78,46,50,6.77,0.46,0.2802777778,-1,-78.78055556
65,,,0,17,43,51,25,59,6.14,-0.13,0.2952777778,1,51.43305556
66,,,0,17,32.6,-19,3,4,6.45,0.37,0.2923888889,-1,-19.05111111
67,,,0,17,47.7,1,41,20,6.17,0.94,0.2965833333,1,1.688888889
68,25Sig,And,0,18,19.7,36,47,7,4.52,0.05,0.3054722222,1,36.78527778
69,,,0,18,17.2,11,12,21,6.05,1.03,0.3047777778,1,11.20583333
70,26,And,0,18,42.1,43,47,28,6.11,-0.08,0.3116944444,1,43.79111111
71,,,0,18,38.3,31,31,2,5.87,-0.01,0.3106388889,1,31.51722222
72,,,0,18,41.8,-8,3,10,6.46,0.68,0.3116111111,-1,-8.052777778
73,,,0,18,42.6,-43,14,7,6.33,1.21,0.3118333333,-1,-43.23527778
74,8Iot,Cet,0,19,25.7,-8,49,26,3.56,1.22,0.3238055556,-1,-8.823888889
75,,,0,19,41.6,40,43,47,6.33,1.18,0.3282222222,1,40.72972222
76,,,0,20,5.2,48,51,55,6.52,,0.3347777778,1,48.86527778
77,Zet,Tuc,0,20,4.3,-64,52,29,4.23,0.58,0.3345277778,-1,-64.87472222
78,,,0,20,24.4,30,56,9,5.9,-0.1,0.3401111111,1,30.93583333
79,,,0,20,45.5,32,54,41,5.79,1.59,0.3459722222,1,32.91138889
80,41,Psc,0,20,35.9,8,11,25,5.37,1.34,0.3433055556,1,8.190277778
81,,,0,20,54.5,10,58,37,6.56,,0.3484722222,1,10.97694444
82,27Rho,And,0,21,7.3,37,58,7,5.18,0.42,0.3520277778,1,37.96861111
83,Pi,Tuc,0,20,39,-69,37,30,5.51,-0.05,0.3441666667,-1,-69.625
84,Iot,Scl,0,21,31.2,-28,58,54,5.18,1,0.3586666667,-1,-28.98166667
85,,,0,21,46.3,-20,3,28,5.12,1.82,0.3628611111,-1,-20.05777778
86,42,Psc,0,22,25.5,13,28,57,6.23,1.22,0.37375,1,13.4825
87,,,0,21,28.6,-77,25,37,5.97,1.4,0.3579444444,-1,-77.42694444
88,9,Cet,0,22,51.8,-12,12,34,6.39,0.66,0.3810555556,-1,-12.20944444
89,,,0,23,12.6,-31,2,10,6.55,0,0.3868333333,-1,-31.03611111
90,,,0,24,2,38,34,38,7.39,1.97,0.4005555556,1,38.57722222
91,,,0,24,15.6,52,1,12,5.57,-0.12,0.4043333333,1,52.02
#92,NOVA1,572,,,,,,,,,0,1,0
93,12,Cas,0,24,47.5,61,49,52,5.4,0,0.4131944444,1,61.83111111
94,,,0,24,29.7,-2,13,9,6.07,1.22,0.40825,-1,-2.219166667
#95,47,Tuc,,,,,,,,,0,1,0
96,,,0,25,6.4,53,2,49,5.74,-0.06,0.4184444444,1,53.04694444
97,44,Psc,0,25,24.2,1,56,23,5.77,0.86,0.4233888889,1,1.939722222
98,Bet,Hyi,0,25,45.1,-77,15,15,2.8,0.62,0.4291944444,-1,-77.25416667
99,Alp,Phe,0,26,17,-42,18,22,2.39,1.09,0.4380555556,-1,-42.30611111
100,Kap,Phe,0,26,12.2,-43,40,48,3.94,0.17,0.4367222222,-1,-43.68
101,10,Cet,0,26,37.4,0,2,59,6.19,0.9,0.4437222222,1,0.04972222222
102,,,0,27,14.7,-25,32,50,5.98,1.03,0.4540833333,-1,-25.54722222
103,47,Psc,0,28,2.9,17,53,35,5.06,1.65,0.4674722222,1,17.89305556
104,,,0,28,13.7,44,23,40,5.17,0.03,0.4704722222,1,44.39444444
105,Eta,Scl,0,27,55.7,-33,0,26,4.81,1.64,0.4654722222,-1,-33.00722222
106,48,Psc,0,28,12.7,16,26,42,6.06,1.58,0.4701944444,1,16.445
107,,,0,28,20.1,10,11,23,6.04,0.43,0.47225,1,10.18972222
108,,,0,28,21.1,-20,20,6,6.43,0.59,0.4725277778,-1,-20.335
109,,,0,28,26.4,-39,54,54,5.43,1.56,0.474,-1,-39.915
110,,,0,28,56.6,36,54,0,6.26,0.92,0.4823888889,1,36.9
111,,,0,28,43.1,-50,31,58,6.26,1.09,0.4786388889,-1,-50.53277778
112,,,0,30,55,77,1,10,6.21,0.84,0.5152777778,1,77.01944444
113,,,0,30,19.9,59,58,38,5.94,0.01,0.5055277778,1,59.97722222
114,28,And,0,30,7.3,29,45,6,5.23,0.24,0.5020277778,1,29.75166667
115,,,0,29,51.9,-14,51,51,6.14,0.37,0.49775,-1,-14.86416667
116,,,0,29,48.9,-32,7,0,6.57,1.34,0.4969166667,-1,-32.11666667
117,12,Cet,0,30,2.4,-3,57,26,5.72,1.56,0.5006666667,-1,-3.957222222
118,,,0,30,22.7,-23,47,16,5.19,0.12,0.5063055556,-1,-23.78777778
119,,,0,30,27.8,-40,56,22,6.19,0.33,0.5077222222,-1,-40.93944444
120,,,0,30,26.1,-48,12,54,5.69,0.35,0.50725,-1,-48.215
121,13,Cas,0,31,25.3,66,31,10,6.18,-0.1,0.5236944444,1,66.51944444
122,,,0,31,25.6,33,34,54,5.87,1.14,0.5237777778,1,33.58166667
123,14Lam,Cas,0,31,46.4,54,31,20,4.73,-0.1,0.5295555556,1,54.52222222
124,,,0,31,41.2,52,50,22,5.6,1.15,0.5281111111,1,52.83944444
125,Lam1,Phe,0,31,25,-48,48,13,4.77,0.02,0.5236111111,-1,-48.80361111
126,Bet1,Tuc,0,31,32.7,-62,57,29,4.37,-0.07,0.52575,-1,-62.95805556
127,Bet2,Tuc,0,31,33.6,-62,57,57,4.54,0.15,0.526,-1,-62.96583333
128,,,0,32,26.8,43,29,41,6.7,-0.01,0.5407777778,1,43.49472222
129,,,0,33,19.3,70,58,54,6.42,-0.01,0.5553611111,1,70.98166667
130,15Kap,Cas,0,33,0,62,55,54,4.16,0.14,0.55,1,62.93166667
131,52,Psc,0,32,35.5,20,17,40,5.38,1.08,0.5431944444,1,20.29444444
132,51,Psc,0,32,23.8,6,57,20,5.67,0,0.5399444444,1,6.955555556
133,,,0,32,34.5,27,34,50,6.67,,0.5429166667,1,27.58055556
134,,,0,32,49.1,28,16,49,6.3,1,0.5469722222,1,28.28027778
135,,,0,33,10.4,54,53,42,5.93,1.04,0.5528888889,1,54.895
136,Bet3,Tuc,0,32,43.8,-63,1,52,5.09,0.04,0.5455,-1,-63.03111111
137,16,Cas,0,34,24.9,66,45,1,6.48,-0.08,0.5735833333,1,66.75027778
138,,,0,33,41.1,-29,33,30,5.55,1.27,0.5614166667,-1,-29.55833333
139,The,Tuc,0,33,23.3,-71,15,58,6.13,0.23,0.5564722222,-1,-71.26611111
140,,,0,34,27.8,-52,22,23,5.57,0.47,0.5743888889,-1,-52.37305556
141,,,0,34,55.3,13,22,16,6.4,,0.5820277778,1,13.37111111
142,13,Cet,0,35,14.9,-3,35,34,5.2,0.56,0.5874722222,-1,-3.592777778
143,14,Cet,0,35,32.8,0,30,20,5.93,0.44,0.5924444444,1,0.5055555556
144,,,0,36,8.3,54,10,7,5.08,-0.11,0.6023055556,1,54.16861111
145,,,0,35,54.7,13,12,24,6.41,0.52,0.5985277778,1,13.20666667
146,,,0,36,27.3,60,19,34,5.79,0.29,0.6075833333,1,60.32611111
147,Lam2,Phe,0,35,41.1,-48,0,3,5.51,0.44,0.59475,-1,-48.00083333
148,,,0,35,33.4,-54,49,19,6.06,1.01,0.5926111111,-1,-54.82194444
149,,,0,36,20,27,15,17,6.5,-0.09,0.6055555556,1,27.25472222
150,,,0,36,3,-14,58,25,6.45,1.06,0.6008333333,-1,-14.97361111
151,,,0,36,6.9,-22,50,33,6.06,0.29,0.6019166667,-1,-22.8425
152,,,0,36,46.6,44,29,19,5.13,1.6,0.6129444444,1,44.48861111
153,17Zet,Cas,0,36,58.3,53,53,49,3.66,-0.2,0.6161944444,1,53.89694444
154,29Pi,And,0,36,52.9,33,43,10,4.36,-0.14,0.6146944444,1,33.71944444
155,53,Psc,0,36,47.3,15,13,54,5.89,-0.15,0.6131388889,1,15.23166667
156,,,0,37,7.2,24,0,51,6.47,,0.6186666667,1,24.01416667
157,,,0,37,21.1,35,23,58,5.48,0.88,0.6225277778,1,35.39944444
158,,,0,39,47.3,82,29,38,6.4,0.55,0.6631388889,1,82.49388889
159,,,0,37,20.7,-24,46,2,5.57,0.72,0.6224166667,-1,-24.76722222
160,,,0,36,37.4,-65,7,29,6.42,1.26,0.6103888889,-1,-65.12472222
161,,,0,37,30.5,3,8,7,6.39,1.33,0.6251388889,1,3.135277778
162,,,0,37,18.1,-54,23,39,6.41,1,0.6216944444,-1,-54.39416667
163,30Eps,And,0,38,33.3,29,18,42,4.37,0.87,0.6425833333,1,29.31166667
164,,,0,39,9.9,49,21,16,5.43,1.64,0.65275,1,49.35444444
165,31Del,And,0,39,19.7,30,51,39,3.27,1.28,0.6554722222,1,30.86083333
166,54,Psc,0,39,21.8,21,15,2,5.87,0.85,0.6560555556,1,21.25055556
167,55,Psc,0,39,55.6,21,26,18,5.36,1.16,0.6654444444,1,21.43833333
168,18Alp,Cas,0,40,30.5,56,32,14,2.23,1.17,0.6751388889,1,56.53722222
169,,,0,38,40.8,-73,8,14,6.85,0.11,0.6446666667,-1,-73.13722222
170,,,0,39,57.9,-33,57,42,6.69,0.51,0.6660833333,-1,-33.96166667
171,,,0,39,52,-44,47,48,6.01,1.14,0.6644444444,-1,-44.79666667
172,,,0,40,28.6,-16,31,1,6.49,0.92,0.6746111111,-1,-16.51694444
173,,,0,40,32.9,-23,48,16,6.14,0.7,0.6758055556,-1,-23.80444444
174,,,0,40,42.4,-4,21,7,5.91,1.1,0.6784444444,-1,-4.351944444
175,32,And,0,41,7.2,39,27,31,5.33,0.89,0.6853333333,1,39.45861111
176,,,0,40,26.4,-59,27,16,5.89,0.55,0.674,-1,-59.45444444
177,,,0,42,3.4,66,8,51,5.83,1.04,0.7009444444,1,66.1475
178,,,0,41,36,24,37,45,6.04,0.26,0.6933333333,1,24.62916667
179,19Xi,Cas,0,42,3.9,50,30,45,4.8,-0.11,0.7010833333,1,50.5125
180,Mu,Phe,0,41,19.6,-46,5,6,4.59,0.97,0.6887777778,-1,-46.085
181,,,0,42,31.1,58,45,12,6.17,-0.01,0.7086388889,1,58.75333333
#182,M31,And,,,,,,,,,0,1,0
183,Xi,Phe,0,41,46.4,-56,30,6,5.7,0.2,0.6962222222,-1,-56.50166667
184,20Pi,Cas,0,43,28.1,47,1,29,4.94,0.18,0.7244722222,1,47.02472222
185,Lam1,Scl,0,42,42.9,-38,27,48,6.06,-0.03,0.7119166667,-1,-38.46333333
186,,,0,42,41.8,-60,15,45,5.98,1.32,0.7116111111,-1,-60.2625
187,Rho,Tuc,0,42,28.4,-65,28,5,5.39,0.5,0.7078888889,-1,-65.46805556
188,16Bet,Cet,0,43,35.4,-17,59,12,2.04,1.02,0.7265,-1,-17.98666667
189,,,0,44,26.4,47,51,51,5.67,-0.12,0.7406666667,1,47.86416667
190,,,0,43,50.2,-12,0,42,6.02,1.1,0.7306111111,-1,-12.01166667
191,Eta,Phe,0,43,21.2,-57,27,47,4.36,0,0.7225555556,-1,-57.46305556
192,21,Cas,0,45,39,74,59,17,5.66,0.05,0.7608333333,1,74.98805556
193,22Omi,Cas,0,44,43.5,48,17,4,4.54,-0.07,0.7454166667,1,48.28444444
194,17Phi1,Cet,0,44,11.4,-10,36,34,4.76,1.01,0.7365,-1,-10.60944444
195,Lam2,Scl,0,44,12.1,-38,25,18,5.9,1.16,0.7366944444,-1,-38.42166667
196,,,0,45,17.2,55,13,18,5.42,0.04,0.7547777778,1,55.22166667
197,,,0,44,44.4,-22,0,22,5.24,0.33,0.7456666667,-1,-22.00611111
198,,,0,44,57.1,-42,40,36,5.94,0.28,0.7491944444,-1,-42.67666667
199,,,0,44,32.3,-62,29,52,6.07,0.44,0.7423055556,-1,-62.49777778
200,,,0,46,39,69,19,30,6.33,,0.7775,1,69.325
201,,,0,45,24.1,-4,37,45,6.15,1.62,0.7566944444,-1,-4.629166667
202,,,0,45,0,-53,42,54,6.15,0.53,0.75,-1,-53.715
203,18,Cet,0,45,28.7,-12,52,51,6.15,0.61,0.7579722222,-1,-12.88083333
204,,,0,46,15.1,55,18,19,6.52,,0.7708611111,1,55.30527778
205,,,0,46,10.9,44,51,41,6.05,-0.07,0.7696944444,1,44.86138889
206,,,0,45,41.7,-16,25,27,6.47,0.31,0.7615833333,-1,-16.42416667
207,,,0,46,42.4,59,34,28,6.39,1.09,0.7784444444,1,59.57444444
208,23,Cas,0,47,46.1,74,50,51,5.41,-0.08,0.7961388889,1,74.8475
209,,,0,45,45.6,-47,33,6,5.8,0.64,0.7626666667,-1,-47.55166667
210,,,0,46,11.8,-22,31,19,5.5,0.98,0.7699444444,-1,-22.52194444
211,57,Psc,0,46,33,15,28,32,5.38,1.65,0.7758333333,1,15.47555556
212,,,0,48,9.1,72,40,30,5.87,1.01,0.8025277778,1,72.675
213,58,Psc,0,47,1.5,11,58,26,5.5,0.97,0.78375,1,11.97388889
214,59,Psc,0,47,13.6,19,34,44,6.13,0.27,0.7871111111,1,19.57888889
215,34Zet,And,0,47,20.3,24,16,2,4.06,1.12,0.7889722222,1,24.26722222
216,60,Psc,0,47,23.6,6,44,27,5.99,0.94,0.7898888889,1,6.740833333
217,61,Psc,0,47,54.8,20,55,31,6.54,0.5,0.7985555556,1,20.92527778
218,,,0,47,43.3,-18,3,41,5.7,1.3,0.7953611111,-1,-18.06138889
219,24Eta,Cas,0,49,6,57,48,57,3.44,0.57,0.8183333333,1,57.81583333
220,,,0,48,1.1,-21,43,21,5.57,-0.06,0.8003055556,-1,-21.7225
221,62,Psc,0,48,17.4,7,18,0,5.93,1.1,0.8048333333,1,7.3
222,,,0,48,23,5,16,50,5.75,0.88,0.8063888889,1,5.280555556
223,25Nu,Cas,0,48,50.1,50,58,6,4.89,-0.11,0.8139166667,1,50.96833333
224,63Del,Psc,0,48,41,7,35,6,4.43,1.5,0.8113888889,1,7.585
225,64,Psc,0,48,58.7,16,56,26,5.07,0.51,0.8163055556,1,16.94055556
226,35Nu,And,0,49,48.8,41,4,44,4.53,-0.15,0.8302222222,1,41.07888889
227,,,0,49,25.6,-13,33,41,5.59,1.3,0.8237777778,-1,-13.56138889
228,,,0,49,13.9,-24,8,11,5.9,0.95,0.8205277778,-1,-24.13638889
229,,,0,48,56.7,-46,41,52,6.27,0.9,0.81575,-1,-46.69777778
230,65,Psc,0,49,52.8,27,42,39,7,0.36,0.8313333333,1,27.71083333
231,65,Psc,0,49,53.2,27,42,37,7.1,,0.8314444444,1,27.71027778
232,,,0,49,33.4,-23,21,42,6.28,0.13,0.8259444444,-1,-23.36166667
233,,,0,50,43.6,64,14,51,5.39,0.49,0.8454444444,1,64.2475
234,,,0,50,18.3,45,0,8,6.15,0.01,0.8384166667,1,45.00222222
235,19Phi2,Cet,0,50,7.6,-10,38,40,5.19,0.5,0.8354444444,-1,-10.64444444
236,Lam,Hyi,0,48,35.4,-74,55,24,5.07,1.37,0.8098333333,-1,-74.92333333
237,,,0,51,16.4,61,48,21,6.07,1.88,0.8545555556,1,61.80583333
238,,,0,50,57.4,51,30,29,6.39,0.28,0.8492777778,1,51.50805556
239,,,0,50,3.7,-43,23,41,6.48,0.29,0.8343611111,-1,-43.39472222
240,,,0,54,53.1,83,42,26,5.62,0.09,0.91475,1,83.70722222
241,,,0,51,33.7,51,34,16,6.21,,0.8593611111,1,51.57111111
242,Rho,Phe,0,50,41.2,-50,59,13,5.22,0.36,0.8447777778,-1,-50.98694444
243,,,0,51,18.3,3,23,6,6.37,1.07,0.8550833333,1,3.385
244,,,0,53,4.1,61,7,27,4.82,0.53,0.8844722222,1,61.12416667
245,,,0,51,52.1,-43,42,33,6.9,0.35,0.8644722222,-1,-43.70916667
246,,,0,52,53.4,38,32,55,6.69,0.02,0.8815,1,38.54861111
247,,,0,52,40.6,-24,0,21,5.46,1.24,0.8779444444,-1,-24.00583333
248,20,Cet,0,53,0.5,-1,8,39,4.77,1.57,0.8834722222,-1,-1.144166667
249,,,0,53,28.2,37,25,5,6.06,1.14,0.8911666667,1,37.41805556
250,,,0,53,47.6,52,41,21,6.27,0.19,0.8965555556,1,52.68916667
251,,,0,53,12.4,-24,46,37,6.46,0.44,0.8867777778,-1,-24.77694444
252,Lam1,Tuc,0,52,24.3,-69,30,16,6.22,0.56,0.8734166667,-1,-69.50444444
253,26Ups1,Cas,0,55,0.1,58,58,22,4.83,1.21,0.9166944444,1,58.97277778
254,66,Psc,0,54,35.2,19,11,18,5.74,-0.01,0.9097777778,1,19.18833333
255,21,Cet,0,54,17.6,-8,44,27,6.16,0.92,0.9048888889,-1,-8.740833333
256,,,0,55,5.2,48,40,43,6.27,1.68,0.9181111111,1,48.67861111
257,,,0,53,37.9,-62,52,17,5.7,1.56,0.8938611111,-1,-62.87138889
258,36,And,0,54,58,23,37,42,5.47,1,0.9161111111,1,23.62833333
259,,,0,55,14.7,24,33,25,6.2,1.62,0.92075,1,24.55694444
260,,,0,56,12.9,57,59,48,6.21,1.37,0.9369166667,1,57.99666667
261,,,0,56,55.6,68,46,34,6.37,0.38,0.9487777778,1,68.77611111
262,67,Psc,0,55,58.5,27,12,34,6.09,0.14,0.9329166667,1,27.20944444
263,,,0,55,42.4,-7,20,50,5.85,1.52,0.9284444444,-1,-7.347222222
264,27Gam,Cas,0,56,42.5,60,43,0,2.47,-0.15,0.9451388889,1,60.71666667
265,28Ups2,Cas,0,56,39.8,59,10,52,4.63,0.96,0.9443888889,1,59.18111111
266,,,0,56,47.1,60,21,46,5.55,-0.07,0.9464166667,1,60.36277778
267,22Phi3,Cet,0,56,1.5,-11,16,0,5.31,1.52,0.93375,-1,-11.26666667
268,,,0,55,55.5,-27,46,32,6.1,1.67,0.9320833333,-1,-27.77555556
269,37Mu,And,0,56,45.2,38,29,58,3.87,0.13,0.9458888889,1,38.49944444
270,Lam2,Tuc,0,55,0.3,-69,31,37,5.45,1.09,0.91675,-1,-69.52694444
271,38Eta,And,0,57,12.4,23,25,3,4.42,0.94,0.9534444444,1,23.4175
272,,,0,57,39.7,45,50,23,6.12,1.02,0.9610277778,1,45.83972222
273,,,0,58,31.1,66,21,8,5.97,-0.02,0.9753055556,1,66.35222222
274,68,Psc,0,57,50.2,28,59,32,5.42,1.08,0.9639444444,1,28.99222222
275,,,0,58,14.2,33,57,3,5.98,1,0.9706111111,1,33.95083333
276,,,0,57,54.5,13,41,45,6.32,0.89,0.9651388889,1,13.69583333
277,,,0,58,18.9,21,24,16,6.37,0.09,0.9719166667,1,21.40444444
278,,,1,0,31,70,58,59,6.39,0.13,1.008611111,1,70.98305556
279,23Phi4,Cet,0,58,43.9,-11,22,48,5.61,0.97,0.9788611111,-1,-11.38
280,Alp,Scl,0,58,36.4,-29,21,27,4.31,-0.16,0.9767777778,-1,-29.3575
281,,,0,58,22.4,-60,41,47,6.23,0.1,0.9728888889,-1,-60.69638889
282,,,1,0,3.4,44,42,40,6.84,,1.000944444,1,44.71111111
283,,,1,0,3.6,44,42,48,6.04,-0.01,1.001,1,44.71333333
284,,,0,59,49.7,6,28,59,6.11,1.67,0.9971388889,1,6.483055556
285,,,1,8,44.7,86,15,25,4.25,1.21,1.14575,1,86.25694444
286,,,1,33,50.4,89,0,56,6.46,0.11,1.564,1,89.01555556
287,,,1,2,18.4,51,2,6,6.47,,1.038444444,1,51.035
288,Xi,Scl,1,1,18.3,-38,55,0,5.59,1.18,1.02175,-1,-38.91666667
289,,,1,3,1.5,47,22,34,6.45,0.25,1.050416667,1,47.37611111
290,39,And,1,2,54.3,41,20,42,5.98,0.16,1.048416667,1,41.345
291,69Sig,Psc,1,2,49.1,31,48,16,5.5,-0.05,1.046972222,1,31.80444444
292,,,1,3,37,61,4,30,5.92,0.49,1.060277778,1,61.075
293,Sig,Scl,1,2,26.4,-31,33,7,5.5,0.08,1.040666667,-1,-31.55194444
294,71Eps,Psc,1,2,56.6,7,53,24,4.28,0.96,1.049055556,1,7.89
295,Ome,Phe,1,2,1.8,-57,0,9,6.11,0.94,1.033833333,-1,-57.0025
296,25,Cet,1,3,2.6,-4,50,12,5.43,1.11,1.050722222,-1,-4.836666667
297,,,1,4,19.6,61,34,49,5.84,0.54,1.072111111,1,61.58027778
298,,,1,4,2.4,52,30,8,5.99,1.47,1.067333333,1,52.50222222
299,,,1,2,49.2,-46,23,51,5.36,0.9,1.047,-1,-46.3975
300,,,1,3,17.6,-29,31,33,6.29,0.93,1.054888889,-1,-29.52583333
301,26,Cet,1,3,49,1,22,0,6.04,0.27,1.063611111,1,1.366666667
302,,,1,4,46.8,51,0,36,6.54,-0.08,1.079666667,1,51.01
303,,,1,4,27.6,29,39,31,6.19,0.43,1.074333333,1,29.65861111
304,,,1,2,42.9,-65,27,22,6.21,1.64,1.04525,-1,-65.45611111
305,,,1,4,36.4,39,59,28,6.72,0.31,1.076777778,1,39.99111111
306,,,1,16,13.5,87,8,43,6.25,1.12,1.270416667,1,87.14527778
307,73,Psc,1,4,52.6,5,39,23,6,1.51,1.081277778,1,5.656388889
308,72,Psc,1,5,5.4,14,56,46,5.68,0.41,1.084833333,1,14.94611111
309,,,1,6,22.8,62,45,42,6.54,0.19,1.106333333,1,62.76166667
310,74Psi1,Psc,1,5,40.9,21,28,24,5.34,-0.03,1.094694444,1,21.47333333
311,74Psi1,Psc,1,5,41.7,21,27,55,5.56,-0.07,1.094916667,1,21.46527778
312,,,1,9,12.3,80,0,42,6.29,,1.153416667,1,80.01166667
313,77,Psc,1,5,49.2,4,54,30,6.35,0.38,1.097,1,4.908333333
314,77,Psc,1,5,51.4,4,54,34,7.25,0.49,1.097611111,1,4.909444444
315,27,Cet,1,5,36.8,-9,58,45,6.12,1.01,1.093555556,-1,-9.979166667
316,,,1,7,0.2,56,56,6,6.43,1.18,1.116722222,1,56.935
317,28,Cet,1,6,5.1,-9,50,22,5.58,0.01,1.101416667,-1,-9.839444444
318,,,1,7,9.5,53,29,54,6.38,,1.119305556,1,53.49833333
319,75,Psc,1,6,33.6,12,57,22,6.12,0.96,1.109333333,1,12.95611111
320,,,1,6,7.7,-23,59,33,6.14,1.09,1.102138889,-1,-23.9925
321,30Mu,Cas,1,8,16.4,54,55,13,5.17,0.69,1.137888889,1,54.92027778
