HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
5530,8Alp1,Lib,14,50,41.2,-15,59,50,5.15,0.41,14.84477778,-1,-15.99722222
5531,9Alp2,Lib,14,50,52.7,-16,2,30,2.75,0.15,14.84797222,-1,-16.04166667
5532,,,14,49,58.4,28,36,57,5.8,0.05,14.83288889,1,28.61583333
5533,38,Boo,14,49,18.7,46,6,58,5.74,0.48,14.82186111,1,46.11611111
5534,,,14,50,15.8,23,54,43,5.85,0.56,14.83772222,1,23.91194444
5535,11,Lib,14,51,1,-2,17,57,4.94,0.98,14.85027778,-1,-2.299166667
5536,,,14,51,0.1,0,15,26,6.18,1.4,14.85002778,1,0.2572222222
5537,,,14,49,32.3,51,22,29,6.51,0.4,14.82563889,1,51.37472222
5538,39,Boo,14,49,41.3,48,43,14,5.69,0.47,14.82813889,1,48.72055556
5539,Zet,Cir,14,54,42.4,-65,59,29,6.09,-0.06,14.91177778,-1,-65.99138889
5540,,,14,57,52.9,-76,39,46,5.34,1.45,14.96469444,-1,-76.66277778
5541,,,14,50,29.6,37,16,19,5.48,1.02,14.84155556,1,37.27194444
5542,,,14,52,33.1,-30,34,37,6.29,0.6,14.87586111,-1,-30.57694444
5543,,,14,52,51.1,-37,48,12,5.03,-0.16,14.88086111,-1,-37.80333333
5544,37Xi,Boo,14,51,23.3,19,6,4,4.55,0.76,14.85647222,1,19.10111111
5545,Pi2,Oct,15,4,46.7,-83,2,18,5.65,1.3,15.07963889,-1,-83.03833333
5546,,,14,55,34.6,-60,6,51,5.2,1.16,14.92627778,-1,-60.11416667
5547,,,15,0,11.8,-77,9,37,5.93,1.05,15.00327778,-1,-77.16027778
5548,12,Lib,14,54,20.1,-24,38,32,5.3,1.32,14.90558333,-1,-24.64222222
5549,,,14,54,38,-33,18,2,5.82,1.42,14.91055556,-1,-33.30055556
5550,,,14,53,23.3,15,42,16,6.4,0.57,14.88980556,1,15.70444444
5551,The,Cir,14,56,44,-62,46,51,5.11,0,14.94555556,-1,-62.78083333
5552,,,14,51,26.4,59,17,38,5.46,1.36,14.85733333,1,59.29388889
5553,,,14,53,23.7,19,9,10,6.01,0.83,14.88991667,1,19.15277778
5554,13Xi1,Lib,14,54,22.9,-11,53,54,5.8,0.97,14.90636111,-1,-11.89833333
5555,,,14,59,56,-75,1,57,6.2,-0.04,14.99888889,-1,-75.0325
5556,,,14,56,17.3,-52,48,35,5.38,0.13,14.93813889,-1,-52.80972222
5557,Ome,Oct,15,11,8.3,-84,47,15,5.91,-0.06,15.18563889,-1,-84.7875
5558,,,14,55,44.7,-33,51,21,5.32,0.04,14.92908333,-1,-33.85583333
5559,,,14,56,32,-47,52,45,5.64,-0.04,14.94222222,-1,-47.87916667
5560,,,14,57,1.4,-51,26,49,6.64,1.7,14.95038889,-1,-51.44694444
5561,,,14,56,35.8,-39,24,58,6.36,0.06,14.94327778,-1,-39.41611111
5562,,,14,56,30.9,-32,38,12,6.06,1.41,14.94191667,-1,-32.63666667
5563,7Bet,UMi,14,50,42.3,74,9,20,2.08,1.47,14.84508333,1,74.15555556
5564,15Xi2,Lib,14,56,46.1,-11,24,35,5.46,1.49,14.94613889,-1,-11.40972222
5565,,,14,57,13.6,-29,9,28,6.29,-0.04,14.95377778,-1,-29.15777778
5566,,,14,58,8.8,-48,51,47,6.35,0.71,14.96911111,-1,-48.86305556
5567,,,14,56,13.2,14,26,47,5.77,-0.06,14.937,1,14.44638889
5568,,,14,57,28,-21,24,56,5.74,1.11,14.95777778,-1,-21.41555556
5569,,,14,55,58.7,32,18,1,6.12,0.1,14.93297222,1,32.30027778
5570,16,Lib,14,57,11,-4,20,47,4.49,0.32,14.95305556,-1,-4.346388889
5571,Bet,Lup,14,58,31.9,-43,8,2,2.68,-0.22,14.97552778,-1,-43.13388889
5572,,,14,58,36.8,-39,54,24,6.15,1.23,14.97688889,-1,-39.90666667
5573,,,14,57,33.3,0,10,3,5.53,1.13,14.95925,1,0.1675
5574,,,14,57,3.6,21,33,19,6.49,-0.01,14.951,1,21.55527778
5575,,,14,57,11.7,16,23,18,5.71,0.94,14.95325,1,16.38833333
5576,Kap,Cen,14,59,9.7,-42,6,15,3.13,-0.2,14.98602778,-1,-42.10416667
5577,59,Hya,14,58,39.2,-27,39,26,5.65,0.24,14.97755556,-1,-27.65722222
5578,17,Lib,14,58,13.4,-11,9,18,6.6,0.01,14.97038889,-1,-11.155
5579,,,14,59,13.9,-37,52,53,6.47,-0.08,14.98719444,-1,-37.88138889
5580,,,14,59,27.1,-43,9,36,6.1,0.6,14.99086111,-1,-43.16
5581,,,14,56,23,49,37,43,5.63,0.5,14.93972222,1,49.62861111
5582,18,Lib,14,58,53.6,-11,8,39,5.87,1.26,14.98155556,-1,-11.14416667
5583,,,14,58,52.8,-4,59,21,6.09,0.5,14.98133333,-1,-4.989166667
5584,,,14,59,23.1,4,34,4,5.93,1.6,14.98975,1,4.567777778
5585,,,15,1,13,-38,3,30,5.89,1.24,15.02027778,-1,-38.05833333
5586,19Del,Lib,15,0,58.4,-8,31,8,4.92,0,15.01622222,-1,-8.518888889
5587,,,15,1,58.1,-34,21,32,6.22,0.24,15.03280556,-1,-34.35888889
5588,40,Boo,14,59,36.9,39,15,55,5.64,0.31,14.99358333,1,39.26527778
5589,,,14,57,35,65,55,57,4.6,1.59,14.95972222,1,65.9325
5590,,,15,1,19.8,-2,45,18,5.52,1.68,15.02216667,-1,-2.755
5591,60,Hya,15,2,6.4,-28,3,38,5.85,0.16,15.03511111,-1,-28.06055556
5592,,,15,0,52.4,22,2,44,6.38,,15.01455556,1,22.04555556
5593,Eta,Cir,15,4,48.2,-64,1,54,5.17,0.93,15.08005556,-1,-64.03166667
5594,,,15,1,48.9,0,8,26,5.71,1.52,15.03025,1,0.1405555556
5595,,,15,2,59.3,-32,38,36,5.44,-0.12,15.04980556,-1,-32.64333333
