ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Info,AlphaLabel,Distance (ly),Label
74,NGC 3132,Planetary Nebula,Vel,10,7.7,-,40,26,9.4,Size: 0.8,0,,NGC 3132
75,NGC 6124,Open Cluster,Sco,16,25.6,-,40,40,5.8,Size: 29,0,,NGC 6124
76,NGC 6231,Open Cluster,Sco,16,54,-,41,48,2.6,Size: 15,0,,NGC 6231
77,NGC 5128,Elliptical Galaxy,Cen,13,25.5,-,43,1,7,Size: 18 x 14,1,,NGC 5128
78,NGC 6541,Globular Cluster,CrA,18,8,-,43,42,6.6,Size: 13,1.0,,NGC 6541
79,NGC 3201,Globular Cluster,Vel,10,17.6,-,46,25,6.7,Size: 18,1,,NGC 3201
80,NGC 5139,Globular Cluster,Cen,13,26.8,-,47,29,3.6,Size: 36,1,,NGC 5139
81,NGC 6352,Globular Cluster,Ara,17,25.5,-,48,25,8.1,Size: 7,1,,NGC 6352
82,NGC 6193,Open Cluster,Ara,16,41.3,-,48,46,5.2,Size: 15,0,,NGC 6193
83,NGC 4945,Spiral Galaxy,Cen,13,5.4,-,49,28,8.7,Size: 20 x 4,0,,NGC 4945
84,NGC 5286,Globular Cluster,Cen,13,46.4,-,51,22,7.6,Size: 9,1,,NGC 5286
85,IC 2391,Open Cluster,Vel,8,40.2,-,53,4,2.5,Size: 50,1,,IC 2391
86,NGC 6397,Globular Cluster,Ara,17,40.7,-,53,40,5.6,Size: 26,1,,NGC 6397
87,NGC 1261,Globular Cluster,Hor,3,12.3,-,55,13,8.4,Size: 7,1,,NGC 1261
88,NGC 5823,Open Cluster,Cir,15,5.7,-,55,36,7.9,Size: 10,1,,NGC 5823
89,NGC 6087,Open Cluster,Nor,16,18.9,-,57,54,5.4,Size: 12,0,,NGC 6087
90,NGC 2867,Planetary Nebula,Car,9,21.4,-,58,19,--,Size: 0.2,1,,NGC 2867
91,NGC 3532,Open Cluster,Car,11,6.4,-,58,40,3,Size: 55,1,,NGC 3532
92,NGC 3372,Bright Nebula,Car,10,43.8,-,59,52,--,Size: 120 x 120,1,,NGC 3372
93,NGC 6752,Globular Cluster,Pav,19,10.9,-,59,59,5.4,Size: 20,1,,NGC 6752
94,NGC 4755,Open Cluster,Cru,12,53.6,-,60,20,4.2,Size: 10,1,,NGC 4755
95,NGC 6025,Open Cluster,TrA,16,3.7,-,60,30,5.1,Size: 12,1,,NGC 6025
96,NGC 2516,Open Cluster,Car,7,58.3,-,60,52,3.8,Size: 30,1,,NGC 2516
97,NGC 3766,Open Cluster,Cen,11,36.1,-,61,37,5.3,Size: 12,0,,NGC 3766
98,NGC 4609,Open Cluster,Cru,12,42.3,-,62,58,6.9,Size: 5,0,,NGC 4609
99,none,Dark Nebula,Cru,12,53,-,63,0,--,Size: 400 x 300,0,,none
100,IC 2944,Open Cluster,Cen,11,36.6,-,63,2,4.5,Size: 15,1,,IC 2944
101,NGC 6744,Spiral Galaxy,Pav,19,9.8,-,63,51,8.3,Size: 16 x 10,1,,NGC 6744
102,IC 2602,Open Cluster,Car,10,43.2,-,64,24,1.9,Size: 50,1,,IC 2602
103,NGC 2070,Bright Nebula,Dor,5,38.7,-,69,6,--,Size: 40 x 25,1,,NGC 2070
104,NGC 362,Globular Cluster,Tuc,1,3.2,-,70,51,6.6,Size: 13,1,,NGC 362
105,NGC 4833,Globular Cluster,Mus,12,59.6,-,70,53,7.3,Size: 14,1,,NGC 4833
106,NGC 104,Globular Cluster,Tuc,0,24.1,-,72,5,4,Size: 31,1,,NGC 104
107,NGC 6101,Globular Cluster,Aps,16,25.8,-,72,12,9.3,Size: 11,1,,NGC 6101
108,NGC 4372,Globular Cluster,Mus,12,25.8,-,72,40,7.8,Size: 19,1,,NGC 4372
109,NGC 3195,Planetary Nebula,Cha,10,9.5,-,80,52,--,Size: 0.6,1,,NGC 3195
